選區,參選人,網址,FB_ID,讚數,藍勾勾,建立日期,管理員國家,改名次數
高雄市第三選舉區,劉世芳,https://www.facebook.com/2016newpower/,879078268822395,69280,blue_verified,2015-02-14,"Taiwan (5)",2
高雄市第三選舉區,莊貽量,https://www.facebook.com/e363888/,555779134608660,2464,not_verified,2016-10-14,"Taiwan (2)",2
高雄市第三選舉區,鄭品娟,https://www.facebook.com/%E9%84%AD%E5%93%81%E5%A8%9F-%E7%82%BA%E5%8F%B0%E7%81%A3%E5%A5%BD-367372507439404/,367372507439404,159,not_verified,2019-03-14,"Taiwan (3)",1
高雄市第三選舉區,郭新政,https://www.facebook.com/hckuo888/,689130494534739,73281,not_verified,2015-01-04,"Taiwan (6)",0
高雄市第三選舉區,蘇博廷,https://www.facebook.com/ROCPOTINGSU/,348836152350990,1388,not_verified,2018-11-04,,2
高雄市第四選舉區,徐慶煌,https://www.facebook.com/bigmony.goodlife/,818423875158479,5167,not_verified,2019-03-08,"Taiwan (8)",1
高雄市第四選舉區,林岱樺,https://www.facebook.com/LinDaiHua/,139678436043353,52883,blue_verified,2010-07-01,"Taiwan (6)",2
高雄市第四選舉區,周凱崙,https://www.facebook.com/salesALUN/,359853504562129,4046,not_verified,2018-12-11,"Taiwan (2)",2
高雄市第四選舉區,黃兆呈,https://www.facebook.com/%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E5%8F%83%E9%81%B8%E4%BA%BA%E9%BB%83%E5%85%86%E5%91%88-103958804286330/,103958804286330,708,not_verified,2019-08-01,,0
高雄市第五選舉區,黃柏霖,https://www.facebook.com/polin66666/,102764756435823,47980,blue_verified,2010-05-13,"Taiwan (8)",1
高雄市第五選舉區,李昆澤,https://www.facebook.com/power2tw/,117615981672812,112221,blue_verified,2011-08-30,"Taiwan (6)",1
高雄市第五選舉區,李佳玲,https://www.facebook.com/KHCTPP/,115036523213233,4469,blue_verified,2019-09-12,"Taiwan (5)",2
高雄市第六選舉區,陳美雅,https://www.facebook.com/meiya5881555/,107729492624806,88963,not_verified,2010-10-04,"Taiwan (3)",0
高雄市第六選舉區,趙天麟,https://www.facebook.com/skychao6238/,109004835824305,185812,blue_verified,2010-08-24,"Taiwan (18)",1
高雄市第六選舉區,李鎔任,https://www.facebook.com/%E6%9D%8E%E9%8E%94%E4%BB%BB-2118046635101730/,2118046635101730,389,not_verified,2018-08-05,,1
高雄市第六選舉區,李建輝,https://www.facebook.com/lichienhui/,102712721133784,1217,not_verified,2019-09-25,"Taiwan (1)",1
高雄市第六選舉區,吳佩蓉,https://www.facebook.com/pjw.kaohsiung100/,2607379985941322,363,not_verified,2019-07-25,"Taiwan (2)",0
高雄市第七選舉區,李雅靜,https://www.facebook.com/fiorina1224/,327986657268286,12950,blue_verified,2012-04-17,"Taiwan (5)",3
高雄市第七選舉區,許智傑,https://www.facebook.com/leer0105/,279997645348476,42230,blue_verified,2011-08-30,"Taiwan (15), Australia (1), United Kingdom (1)",3
高雄市第七選舉區,陳惠敏,https://www.facebook.com/huiminkh/,942934662567694,2409,not_verified,2019-06-03,"Taiwan (12)",0
高雄市第七選舉區,秦詩雁,https://www.facebook.com/%E7%A7%A6%E8%A9%A9%E9%9B%81-105520664202332/,105520664202332,1379,not_verified,2019-10-16,"Taiwan (6)",1
高雄市第八選舉區,陳麗娜,https://www.facebook.com/Lina100gogo/,192006484170888,31163,not_verified,2011-03-21,"Taiwan (2)",2
高雄市第八選舉區,賴瑞隆,https://www.facebook.com/zenolai2/,774908905922784,37481,blue_verified,2015-01-13,"Taiwan (6)",0
